Radiation-Temp,Wrist_Skin_Temperature,GSR,Ambient_Temperature,Ambient_Humidity,Label
19.82,29.88,0.15,21.1,32.5,-1
20.12,30.02,0.08,22.3,31.8,1
19.65,29.72,0.18,20.8,33.2,-2
20.35,30.1,0.04,22.9,30.5,2
19.78,29.85,0.12,21.4,32.1,-1
19.95,29.95,0.21,21.6,31.4,0
20.18,30.05,0.07,22.5,30.8,1
19.6,29.65,0.23,20.5,33.8,-2
20.28,30.14,0.03,23.1,30.2,2
19.72,29.78,0.16,20.9,32.7,-1
19.88,29.9,0.1,21.3,31.9,-1
20.4,30.18,0.02,23.2,30.0,2
19.68,29.7,0.2,20.6,34.0,-2
20.05,29.98,0.06,22.0,31.6,0
19.9,29.92,0.14,21.5,32.3,-1
20.22,30.08,0.05,22.7,30.6,1
19.75,29.8,0.19,20.7,33.5,-2
19.98,29.96,0.09,21.8,32.0,0
20.3,30.12,0.01,23.0,30.3,2
19.62,29.68,0.22,20.4,33.9,-2
20.08,30.0,0.11,22.1,31.3,0
19.85,29.86,0.17,21.2,32.6,-1
20.15,30.04,0.06,22.4,30.9,1
19.7,29.75,0.24,20.6,33.4,-2
20.38,30.16,0.02,23.0,30.1,2
19.8,29.82,0.13,21.0,32.4,-1
19.92,29.94,0.08,21.7,31.7,0
20.25,30.1,0.04,22.8,30.5,1
19.63,29.67,0.21,20.5,33.7,-2
20.1,30.02,0.07,22.2,31.5,1
19.76,29.84,0.15,20.9,32.8,-1
19.88,29.9,0.1,21.4,31.9,-1
20.32,30.14,0.03,23.1,30.2,2
19.66,29.72,0.19,20.6,33.6,-2
20.0,29.98,0.05,22.0,31.2,0
19.82,29.86,0.14,21.1,32.5,-1
20.18,30.06,0.06,22.6,30.7,1
19.7,29.76,0.22,20.5,33.3,-2
20.35,30.16,0.02,23.0,30.1,2
19.78,29.8,0.12,21.0,32.2,-1
19.95,29.95,0.09,21.6,31.8,0
20.22,30.08,0.05,22.8,30.4,1
19.62,29.64,0.23,20.4,34.0,-2
20.4,30.18,0.01,23.2,30.0,2
19.72,29.78,0.16,20.8,32.9,-1
20.05,30.0,0.07,22.1,31.4,0
19.88,29.88,0.11,21.3,32.1,-1
20.28,30.12,0.04,22.9,30.3,2
19.65,29.7,0.2,20.5,33.5,-2
19.85,29.88,0.15,21.2,32.5,-1
20.12,30.02,0.08,22.4,31.8,-1
19.72,29.75,0.18,20.8,33.2,-2
20.35,30.11,0.04,22.9,30.5,-1
19.91,29.95,0.21,21.5,32.0,-1
20.08,30.05,0.12,22.1,33.8,-1
19.65,29.68,0.23,20.5,34.0,-2
20.42,30.18,0.02,23.1,30.2,-1
19.78,29.82,0.16,21.0,32.7,-2
20.25,30.08,0.06,22.6,31.0,-1
19.95,29.92,0.19,21.8,33.5,-1
19.6,29.61,0.25,20.4,31.5,-2
20.5,30.19,0.01,23.2,30.0,-1
19.88,29.9,0.1,21.3,32.2,-1
20.18,30.14,0.03,22.0,33.0,-1
19.7,29.7,0.22,20.7,31.2,-2
20.3,30.06,0.07,22.8,34.0,-1
19.82,29.85,0.14,21.6,32.9,-1
20.0,29.98,0.09,22.3,30.8,-1
19.68,29.64,0.2,20.6,33.1,-2
20.4,30.15,0.05,23.0,31.7,-1
19.75,29.78,0.17,21.1,32.4,-2
20.22,30.1,0.11,22.5,33.6,-1
19.9,29.88,0.13,21.9,30.3,-1
20.05,30.01,0.24,22.2,31.9,-1
19.63,29.66,0.08,20.9,33.4,-2
20.38,30.16,0.15,22.7,32.1,-1
19.8,29.8,0.06,21.4,30.7,-2
20.15,30.09,0.19,23.0,34.0,-1
19.93,29.93,0.02,21.7,32.8,-1
20.1,30.04,0.12,22.4,31.4,-1
19.67,29.69,0.18,20.5,33.9,-2
20.45,30.17,0.04,23.1,30.6,-1
19.86,29.87,0.21,21.2,32.3,-1
20.28,30.12,0.07,22.6,31.1,-1
19.73,29.72,0.23,20.8,33.3,-2
20.02,30.0,0.1,22.0,30.9,-1
19.96,29.96,0.16,21.5,32.6,-1
20.32,30.13,0.03,22.9,34.0,-1
19.62,29.63,0.14,20.6,31.8,-2
20.48,30.19,0.09,23.2,30.4,-1
19.77,29.77,0.2,21.0,33.7,-2
20.2,30.07,0.05,22.3,32.2,-1
19.89,29.89,0.11,21.8,31.6,-1
20.07,30.03,0.17,22.1,33.0,-1
19.71,29.71,0.25,20.7,30.1,-2
20.36,30.14,0.01,22.8,34.0,-1
19.83,29.83,0.22,21.3,32.5,-1
20.13,30.11,0.08,22.5,31.3,-1
19.98,29.97,0.13,21.6,33.5,-1
19.85,29.82,0.18,21.2,32.5,-1
20.12,30.05,0.09,22.8,33.1,1
19.72,29.68,0.22,20.9,31.2,-2
20.35,30.11,0.04,22.5,33.8,2
19.9,29.91,0.15,21.7,32.0,0
19.65,29.73,0.2,20.6,30.8,-2
20.28,30.08,0.07,23.0,33.5,2
19.95,29.85,0.12,21.5,31.9,-1
20.05,29.98,0.1,21.9,32.8,0
19.78,29.7,0.24,20.8,31.5,-2
20.4,30.15,0.02,22.9,33.6,2
19.88,29.88,0.16,21.3,32.3,-1
