Radiation-Temp,Wrist_Skin_Temperature,GSR,Ambient_Temperature,Ambient_Humidity,Label
23.4,35.81,0.1526184,23.7,43.0,-2
24.9,34.63,0.169933,23.1,31.0,-2
24.1,34.91,0.1155803,27.7,31.0,3
29.0,33.93,0.320126,32.8,17.0,3
31.7,34.95,0.08593745,29.8,34.0,-1
30.6,34.37,0.0873311,30.8,28.0,0
29.8,33.91,0.2748751,31.5,27.0,0
22.2,34.13,0.01893315,22.9,30.0,-1
29.9,34.83,0.4049509,28.4,28.0,0
24.4,36.61,0.439618,24.0,44.0,-1
23.0,34.53,0.116788,23.9,33.0,-1
21.4,34.27,0.162826,21.9,37.0,-1
27.4,33.05,0.0986721,25.3,38.0,-1
25.5,34.53,0.09437832,27.8,33.0,1
28.3,34.03,0.161511,29.8,30.0,-1
19.1,31.83,0.3940861,19.7,41.0,-1
25.1,35.07,0.15448832,25.0,30.0,1
31.9,35.01,0.27276842,32.4,17.0,3
25.8,34.81,0.414944,24.4,33.0,-1
22.9,34.03,0.05881894,22.4,35.0,-1
23.0,36.21,0.00681243,23.7,43.0,-1
26.8,34.29,0.0999062,27.2,29.0,-1
25.0,32.35,0.0700896763,27.3,39.0,-1
29.9,33.79,3.557521,35.0,28.0,3
21.5,33.41,0.09992433,22.6,42.0,-1
33.6,34.43,0.21753552,32.7,19.0,3
21.5,34.73,0.04261652,21.3,40.0,-1
27.6,32.91,0.356845,24.5,39.0,-2
29.9,35.37,0.09153431,31.4,24.0,2
22.5,34.55,0.15253632,22.3,23.0,-1
25.7,33.93,0.09511643,26.3,36.0,-3
25.7,34.73,0.1769011,25.3,43.0,-2
30.8,34.97,1.384929,30.0,26.0,-1
25.9,34.11,0.07924762,30.6,32.0,3
26.1,35.43,0.1080951,29.6,26.0,0
28.3,34.69,0.1299509,29.9,30.0,2
25.6,36.49,0.1588756,29.4,35.0,0
21.0,32.13,0.37886943,22.7,29.0,-1
24.1,33.97,0.1609089,25.3,32.0,-1
24.9,33.41,0.1777553,27.2,33.0,0
28.8,35.73,0.0140363413,29.2,29.0,3
25.6,34.47,0.1639261,28.0,23.0,-1
25.9,33.45,0.12057529,28.4,42.0,-1
24.6,34.07,0.1311010,24.8,42.0,-1
23.1,33.45,0.1917784,23.8,33.0,-1
29.4,33.27,1.152983,30.0,25.0,-1
21.3,33.75,0.6179161,22.1,42.0,-1
32.3,33.65,0.581601,34.5,17.0,3
33.0,33.23,0.07603758,34.9,24.0,-3
24.5,34.65,0.2075231,24.1,33.0,-1
21.7,33.53,0.158867,20.6,34.0,-1
22.2,35.99,0.01084489,22.6,37.0,-1
24.7,34.27,0.423858,27.4,24.0,-1
29.9,34.21,0.1479282,33.1,23.0,0
22.4,32.45,0.05786616,23.6,42.0,-1
31.7,34.41,0.08243777,32.7,23.0,3
26.7,34.55,0.09814,29.4,37.0,1
29.8,34.23,0.7648923,29.7,33.0,-1
22.1,33.85,0.01555814,22.6,44.0,-3
26.5,33.89,0.01408788,25.8,38.0,-3
22.6,36.31,0.134086,23.1,35.0,-1
23.5,31.97,0.04151162,23.1,41.0,-1
30.9,34.15,0.8888821,30.1,27.0,-1
24.2,34.73,0.171211,24.6,34.0,-1
23.6,36.25,0.1455962,23.1,33.0,-1
31.4,33.27,0.08102782,32.5,15.0,2
21.5,30.27,0.08606769,21.4,42.0,-1
23.4,36.11,0.134586,30.7,36.0,0
21.0,33.75,0.05827861,22.7,37.0,-1
26.8,32.25,1.0971543,27.2,32.0,2
28.5,35.11,0.1217474,36.0,26.0,3
23.0,35.89,0.0511894,23.3,41.0,-1
33.9,34.29,3.599981,34.1,18.0,-1
22.7,34.77,0.8588071,22.8,43.0,-1
21.7,32.85,0.1257262,21.5,41.0,-1
25.0,30.51,0.06782971,26.0,36.0,-2
29.1,34.03,0.109886,27.4,35.0,-2
21.6,34.45,0.246009,21.2,52.0,-1
30.7,35.57,0.06673501,31.3,28.0,-1
30.2,32.69,0.12152277,33.3,22.0,2
24.1,34.23,0.1178353,24.5,40.0,-1
22.5,34.27,0.7227581,22.3,36.0,-1
21.9,35.91,0.0984883,21.3,34.0,-1
27.0,35.87,0.09002691,26.3,32.0,1
23.6,34.55,0.07719883,30.4,32.0,2
21.8,34.53,0.385745,22.2,44.0,-2
28.3,33.45,0.1577391,31.7,24.0,2
26.5,34.45,0.10484475,25.8,26.0,3
28.4,33.11,0.103575,27.3,30.0,0
18.1,33.41,0.05753541,18.9,43.0,0
31.2,35.11,0.39608313,32.2,23.0,-1
27.0,34.05,0.5745691,28.0,31.0,-2
27.2,34.89,0.06858994,30.1,29.0,-1
20.2,34.23,0.00796771,20.3,33.0,-1
32.8,35.33,0.070727332,35.2,17.0,0
26.8,32.77,0.1044153,26.5,32.0,1
22.3,32.41,0.8548069,20.0,37.0,-1
19.4,33.65,0.178086,19.7,34.0,-1
28.4,34.33,0.27152943,29.5,30.0,3
32.7,35.23,0.1067851,33.8,17.0,2
28.1,36.43,3.339511,30.2,22.0,3
26.0,33.83,0.701038,25.0,41.0,-1
29.4,34.01,2.0683572,32.8,21.0,1
30.2,35.39,0.0560375,31.9,21.0,-1
25.4,32.73,0.4138688,25.6,39.0,-1
29.1,34.49,0.1665883,30.1,30.0,-1
28.6,35.01,1.57555577,34.0,21.0,3
23.3,31.15,0.08618382,23.0,34.0,-1
29.1,34.99,0.001524641,28.4,36.0,0
24.0,32.91,0.309876,24.2,36.0,0
23.1,33.53,0.01809042,23.1,43.0,-3
28.2,34.05,0.09995832,29.8,22.0,2
21.5,32.23,0.1558698,21.9,36.0,-1
22.3,36.21,0.01231883,22.4,43.0,-1
23.6,32.19,0.1206942,29.5,32.0,-1
21.1,33.45,0.00282561,21.1,34.0,-2
33.8,35.19,3.375532,34.1,22.0,3
26.4,33.13,0.0863832,28.6,28.0,-1
25.0,33.91,0.117577,28.0,29.0,-1
22.2,34.29,0.0582835,22.3,45.0,-1
23.0,33.91,0.1555993,23.8,43.0,-2
32.9,35.19,0.1188474,33.1,17.0,2
22.0,34.17,0.1875294,22.1,42.0,-1
25.0,33.83,0.111489,24.0,42.0,-1
26.8,35.13,0.1701375,27.3,31.0,-1
24.7,35.25,0.4515882,26.8,33.0,0
28.9,33.01,0.06786971,29.2,25.0,-1
28.8,35.89,0.1501165,29.4,27.0,-2
30.7,34.65,0.1088983,33.3,19.0,3
18.8,32.77,0.9881791,21.6,41.0,-1
24.4,34.67,0.06453879,24.3,36.0,-1
23.5,33.03,0.1708334,25.8,36.0,-1
21.6,34.09,0.1155757,22.6,34.0,-1
