,acc,f1
Real→Real,0.9658333333333333,0.9576374841352889
GaussianCopula→Real,0.568,0.36912647673683696
Real→GaussianCopula,0.43333333333333335,0.3197876990754667
GaussianCopula→GaussianCopula,0.47714285714285715,0.3114342144947446
CTGAN→Real,0.8458333333333333,0.8122273315150106
Real→CTGAN,0.8464285714285714,0.836066418750894
CTGAN→CTGAN,0.8078571428571428,0.7919739607746533
TVAE→Real,0.7013333333333334,0.40705070462006565
Real→TVAE,0.8454761904761905,0.8158026980961868
TVAE→TVAE,0.6504761904761904,0.3802366802210405
