Experiment,F1,Acc
Real->Real,0.56399228644531,0.5903036213843903
GaussianCopula->Real,0.17738765720456842,0.3625490850293869
Real->GaussianCopula,0.3292439060582028,0.3391130376792264
GaussianCopula->GaussianCopula,0.1264523101864361,0.23407802600866956
CTGAN->Real,0.5296373842062622,0.6897312835253959
Real->CTGAN,0.32306871658297065,0.34244748249416473
CTGAN->CTGAN,0.5906634785861838,0.7715905301767255
TVAE->Real,0.6851895287814115,0.7352873238713652
Real->TVAE,0.32420105916147574,0.33011003667889294
TVAE->TVAE,0.5593757147980657,0.6392130710236745
