,acc,f1
Real->Real,0.4683417601314067,0.35262184305736044
GaussianCopula->Real,0.19069373508200088,0.06619409639579805
Real->GaussianCopula,0.20273424474824941,0.13900990504936592
GaussianCopula->GaussianCopula,0.25408469489829943,0.11894354362763172
CTGAN->Real,0.253804891820445,0.20971424483117893
Real->CTGAN,0.14438146048682896,0.11116403077301151
CTGAN->CTGAN,0.3474491497165722,0.31842053922638985
TVAE->Real,0.5034519929163566,0.25897280786625004
Real->TVAE,0.22740913637879293,0.1282877079352202
TVAE->TVAE,0.37279093031010335,0.20967568618247379
