Radiation-Temp,Wrist_Skin_Temperature,GSR,Ambient_Temperature,Ambient_Humidity,Label
23.2,30.8,0.315488155,27.8,22.0,1
21.2,29.61,0.035090795,24.3,29.0,-1
30.4,34.38,0.464220017,32.7,14.0,0
20.2,30.24,0.021050823,22.7,32.0,-2
23.8,31.14,0.386630477,27.5,22.0,1
21.1,29.53,0.084125505,24.2,28.0,-1
28.6,33.92,0.228321992,33.5,14.0,2
26.7,32.7,0.140972201,29.9,17.0,2
30.1,34.14,0.299496342,33.9,13.0,2
25.8,31.79,0.286368407,30.2,21.0,1
25.0,31.51,0.345055711,27.6,23.0,1
28.9,33.6,0.452565515,32.3,17.0,2
20.1,30.06,0.122765713,20.7,32.0,-2
24.2,31.03,0.328566329,29.0,21.0,1
24.3,30.87,0.352776491,28.0,22.0,1
30.3,34.59,0.460555518,31.8,14.0,0
21.9,28.85,0.119397198,25.9,25.0,0
19.7,30.0,0.210985547,21.6,31.0,-2
25.5,32.64,0.392919275,28.4,20.0,1
27.7,33.36,0.46783368,30.8,17.0,2
21.8,29.51,0.034339049,23.5,29.0,-1
19.8,30.14,0.222271119,20.4,32.0,-2
19.6,30.15,0.266024153,21.3,33.0,-2
20.3,29.46,0.12466384,24.5,28.0,-1
20.0,29.76,0.061312735,22.5,31.0,-1
27.4,33.37,0.227263415,29.9,19.0,2
26.0,32.5,0.341683463,29.2,20.0,1
24.3,31.08,0.324041973,28.0,22.0,1
30.5,34.25,0.509068112,31.9,15.0,0
30.5,34.59,0.514872947,32.1,14.0,0
25.1,32.53,0.355865894,29.6,21.0,1
28.0,33.62,0.450430946,32.5,15.0,2
20.0,30.1,0.259243593,20.6,34.0,-2
22.8,29.1,0.251964435,24.7,26.0,0
30.4,34.34,0.451402764,32.6,15.0,0
30.5,34.11,0.234179803,33.6,14.0,2
21.5,29.4,0.109150097,24.3,28.0,-1
20.6,29.87,0.010995119,22.4,27.0,-1
19.7,30.16,0.10370855,21.3,33.0,-2
20.1,30.17,0.226828962,20.8,33.0,-2
26.5,32.91,0.202723452,29.1,20.0,1
21.2,29.17,0.116004925,24.5,28.0,-1
21.1,29.55,0.026693967,22.6,28.0,-1
23.2,29.03,0.311630047,31.5,23.0,1
23.2,29.33,0.040658903,21.1,28.0,-1
19.9,30.11,0.186414874,20.4,32.0,-2
22.6,29.65,0.086163808,22.6,29.0,-1
23.9,29.11,0.184212208,24.5,24.0,0
25.4,32.55,0.410921135,28.7,20.0,1
23.3,29.06,0.179382271,24.4,25.0,0
20.9,29.74,0.030850012,22.4,28.0,-1
26.9,33.33,0.427413786,32.2,17.0,2
30.5,34.59,0.45529125,33.2,15.0,0
19.6,30.12,0.121909895,22.8,32.0,-2
24.1,29.06,0.208455724,26.9,24.0,0
26.5,32.66,0.206798337,31.3,17.0,2
19.6,30.13,0.21759292,20.7,33.0,-2
19.7,30.2,0.228908948,20.4,33.0,-2
21.8,29.47,0.124618017,25.1,29.0,-1
19.8,30.12,0.267325263,20.7,32.0,-2
25.9,32.53,0.423810061,28.0,20.0,1
30.2,34.41,0.451628405,33.7,13.0,2
22.8,29.23,0.108316199,25.7,28.0,-1
27.5,32.88,0.44693425,29.3,19.0,2
25.7,32.49,0.431302133,28.7,20.0,1
24.0,28.85,0.313305012,27.7,23.0,1
19.7,30.19,0.116529275,21.3,33.0,-2
19.6,30.21,0.234722411,20.8,32.0,-2
25.4,31.85,0.272610183,29.2,21.0,1
30.5,34.56,0.480498497,32.4,15.0,0
20.2,29.83,0.016651346,23.5,28.0,-1
24.5,30.79,0.327218977,28.2,22.0,1
27.6,33.39,0.371546859,30.1,18.0,2
26.7,32.86,0.399592308,30.9,17.0,2
26.2,33.0,0.30497776,30.1,17.0,2
19.9,30.02,0.228698332,22.4,32.0,-2
22.6,29.13,0.237811242,26.2,23.0,0
25.1,32.53,0.071604407,28.7,20.0,1
20.4,29.31,0.031164168,22.4,28.0,-1
29.5,33.96,0.3513722,33.4,14.0,2
25.9,31.88,0.301833425,28.2,21.0,1
27.0,32.82,0.253255947,31.0,19.0,2
22.6,34.26,0.477513578,26.6,23.0,0
28.2,33.42,0.455549945,32.4,14.0,2
24.8,32.66,0.386199636,29.1,20.0,1
29.1,33.31,0.499466479,32.6,14.0,2
28.9,33.46,0.444817194,32.5,15.0,2
19.7,30.12,0.130757222,21.2,34.0,-2
22.1,29.13,0.181269049,24.7,25.0,0
24.4,30.89,0.348301841,28.2,22.0,1
22.3,29.14,0.34182558,24.3,24.0,0
20.4,29.86,0.024940493,21.5,33.0,-1
25.3,32.42,0.239738284,29.0,19.0,2
20.2,30.18,0.072355267,22.9,32.0,-1
24.6,30.93,0.396029219,27.6,21.0,1
20.3,30.0,0.066955094,21.9,32.0,-1
21.4,29.17,0.113945685,24.6,26.0,-1
21.7,29.26,0.110172645,24.4,29.0,-1
22.2,29.03,0.165981062,25.2,25.0,0
28.0,33.43,0.489072155,32.7,16.0,2
19.9,30.21,0.229035145,20.4,32.0,-2
23.0,29.01,0.175652231,26.8,24.0,0
20.9,29.26,0.117088641,24.6,28.0,-1
20.9,29.26,0.140836745,24.2,27.0,-1
28.2,33.36,0.354546288,30.0,17.0,2
24.6,31.55,0.213575606,27.9,22.0,1
19.6,30.16,0.25607234,20.8,34.0,-2
24.1,31.63,0.424245302,28.0,22.0,1
24.1,30.82,0.378905365,28.1,21.0,1
23.5,29.01,0.192485492,24.4,25.0,0
19.6,30.17,0.226969933,20.5,32.0,-2
25.5,31.61,0.429690906,29.3,22.0,1
30.5,34.59,0.459104051,32.5,14.0,0
30.5,34.26,0.452555908,33.7,14.0,2
24.1,29.28,0.392508369,27.5,22.0,1
24.5,31.85,0.302783129,28.2,21.0,1
19.6,30.17,0.173857921,20.7,32.0,-2
29.2,34.27,0.520433396,33.6,15.0,2
30.5,29.12,0.386432261,33.4,15.0,0
23.3,28.9,0.399247629,27.7,23.0,1
27.0,33.02,0.301159193,31.0,18.0,2
23.8,28.85,0.239520579,26.5,24.0,0
30.5,34.59,0.447860668,32.1,14.0,0
19.6,30.14,0.236556437,20.7,33.0,-2
24.7,31.56,0.286083948,29.2,21.0,1
30.5,34.59,0.448802113,32.5,14.0,0
23.1,28.88,0.188877796,25.3,23.0,0
23.9,28.86,0.383428585,26.9,24.0,0
23.2,29.56,0.382031005,27.5,22.0,1
21.6,29.56,0.044521581,22.0,28.0,-1
26.3,32.47,0.277002003,29.6,19.0,2
19.9,29.77,0.008967168,21.9,33.0,-1
24.6,29.68,0.371173656,27.6,22.0,1
25.7,32.51,0.397197851,28.9,20.0,1
22.7,29.22,0.444454593,24.9,24.0,0
22.9,29.64,0.314500968,27.7,22.0,1
21.9,29.57,0.036269546,22.4,28.0,-1
19.9,29.4,0.094774381,22.9,29.0,-1
29.1,33.51,0.472480857,32.4,14.0,2
23.0,29.47,0.400074302,27.6,23.0,1
