Radiation-Temp,Wrist_Skin_Temperature,GSR,Ambient_Temperature,Ambient_Humidity,Label
29.7,34.42,0.43188159,32.3,14.0,1
26.0,32.16,0.236340149,27.7,15.0,1
27.9,34.15,0.353642427,33.0,15.0,2
28.8,31.88,0.309948636,30.0,18.0,2
30.4,34.58,0.452414259,34.0,14.0,2
21.8,31.08,0.279963933,22.8,25.0,-1
23.4,30.26,0.350129561,27.9,27.0,1
26.9,33.13,0.19160275,28.9,17.0,-1
24.1,31.28,0.279715903,27.4,21.0,1
24.5,29.56,0.100912401,22.6,23.0,1
29.7,33.49,0.12450583,27.4,21.0,0
26.0,29.91,0.239118937,28.3,22.0,2
20.4,32.59,0.064455139,25.2,25.0,0
28.5,33.54,0.449586719,32.4,16.0,0
21.1,30.03,0.142740573,23.0,29.0,-1
25.6,33.29,0.246577624,25.8,17.0,1
26.9,30.48,0.218566335,28.3,18.0,2
19.6,28.86,0.110700584,22.2,28.0,-1
26.1,33.95,0.069700597,32.5,14.0,1
29.5,30.2,0.241696631,33.0,15.0,2
28.4,30.96,0.400189366,29.2,15.0,2
23.6,29.98,0.449915037,32.7,15.0,1
22.3,28.9,0.085272595,23.7,21.0,-1
30.1,34.55,0.476161244,32.0,17.0,2
28.4,30.98,0.477824514,30.8,17.0,0
29.9,31.35,0.528616771,32.3,14.0,2
19.8,30.91,0.075573778,29.8,20.0,2
21.7,29.14,0.314063177,25.4,19.0,-1
28.9,34.41,0.29089071,28.4,20.0,1
19.6,28.86,0.109556402,20.4,32.0,0
30.5,34.58,0.643599218,34.0,14.0,2
28.2,33.34,0.425510805,32.0,18.0,1
20.2,29.0,0.133900174,23.0,32.0,0
20.5,28.86,0.367360924,21.3,32.0,-2
30.4,34.55,0.429235203,33.0,15.0,2
20.1,29.12,0.008967168,20.4,26.0,0
28.9,34.1,0.259090471,31.9,17.0,2
30.4,33.19,0.414871201,33.0,15.0,2
25.1,31.92,0.364585008,26.2,20.0,1
19.9,28.87,0.305842287,25.5,32.0,2
24.4,32.94,0.198485076,27.7,17.0,1
21.7,29.32,0.409782164,31.6,17.0,2
29.2,32.4,0.386330261,32.7,15.0,2
30.0,34.47,0.308754855,29.5,16.0,1
28.4,34.41,0.49994805,33.7,14.0,1
19.6,29.82,0.323318894,23.0,27.0,1
29.1,32.24,0.315011798,32.5,17.0,2
29.6,32.95,0.312047798,30.7,19.0,1
29.6,34.08,0.481069714,33.0,15.0,1
27.9,32.44,0.282371221,30.5,19.0,2
27.7,34.35,0.31508436,31.5,15.0,2
25.5,31.77,0.315645024,29.9,19.0,1
26.2,32.15,0.327641852,29.3,24.0,1
21.0,29.48,0.091626461,26.1,24.0,-1
22.5,28.86,0.347850809,20.4,32.0,-1
28.2,31.72,0.316792043,32.7,15.0,1
23.4,29.47,0.180407887,26.7,20.0,-2
26.6,32.5,0.225458165,31.3,17.0,1
27.2,31.43,0.116138545,22.8,27.0,0
29.4,33.56,0.179333585,31.9,16.0,2
24.0,29.77,0.27386769,25.9,23.0,-2
26.3,32.99,0.289218149,31.0,16.0,2
25.8,29.16,0.269754185,27.8,29.0,1
26.4,34.29,0.335870236,32.5,17.0,2
