Radiation-Temp,Wrist_Skin_Temperature,GSR,Ambient_Temperature,Ambient_Humidity,Label
25.6,32.54,0.442645309,28.7,21.0,1
27.8,33.26,0.296047648,29.8,18.0,2
24.8,29.44,0.417609652,27.7,21.0,1
27.3,33.35,0.390625895,30.2,17.0,2
27.4,33.49,0.38239775,31.6,17.0,2
23.5,28.87,0.219107728,27.5,23.0,1
21.7,28.94,0.225335994,25.7,25.0,0
28.5,33.67,0.511159521,32.0,16.0,2
30.4,34.32,0.444067404,33.5,14.0,2
19.8,29.94,0.168507214,20.8,32.0,-2
24.6,30.54,0.350341095,27.8,21.0,1
25.9,32.62,0.105743941,30.5,19.0,2
19.8,30.19,0.225684668,21.3,34.0,-2
26.2,32.59,0.436118983,29.5,20.0,2
26.2,32.58,0.306726837,30.0,19.0,2
27.7,33.54,0.438832593,32.8,14.0,2
24.3,30.6,0.359283957,27.8,22.0,1
23.3,28.96,0.284151767,27.2,24.0,1
27.8,33.1,0.398252066,31.3,17.0,2
26.0,32.43,0.154418519,29.8,20.0,2
26.0,32.51,0.443499688,30.3,20.0,1
23.7,28.97,0.42768428,27.4,24.0,1
28.8,33.57,0.403485435,33.7,14.0,2
25.7,32.59,0.177160978,30.0,19.0,2
25.5,32.6,0.390242981,27.8,22.0,1
27.7,33.29,0.240022586,31.1,18.0,2
24.3,29.2,0.355548669,26.7,24.0,1
24.7,32.35,0.411304838,27.6,21.0,1
26.9,32.96,0.173055282,30.2,18.0,2
28.8,33.63,0.442896272,32.8,15.0,2
25.9,32.6,0.23543153,28.6,20.0,1
27.9,33.4,0.390030738,33.4,15.0,2
19.8,29.91,0.117300834,20.8,33.0,-2
26.2,32.58,0.445815797,30.7,20.0,1
19.9,30.12,0.229054966,21.4,33.0,-2
30.2,34.48,0.202575005,33.5,14.0,2
22.6,29.43,0.197580254,25.9,24.0,0
23.6,28.98,0.319229481,26.9,25.0,0
26.2,32.63,0.430933721,28.7,21.0,1
23.0,28.93,0.272766523,27.4,24.0,1
27.9,34.5,0.424414894,32.4,15.0,0
25.5,32.65,0.299270784,31.0,20.0,1
30.4,34.34,0.451117866,33.3,14.0,2
29.8,34.19,0.371505336,33.7,14.0,2
26.3,31.57,0.137062647,28.0,20.0,1
24.2,29.48,0.409590188,27.4,22.0,1
28.4,33.47,0.437146705,32.2,15.0,2
28.0,33.42,0.295584287,32.2,15.0,2
24.6,31.15,0.391535799,27.8,21.0,1
26.0,32.55,0.444391078,29.1,20.0,1
20.5,29.69,0.032003831,23.2,31.0,-1
28.4,33.35,0.241557267,32.0,15.0,2
27.4,33.37,0.176154027,32.5,15.0,2
25.8,32.49,0.141084227,29.1,20.0,2
26.8,32.94,0.070143714,30.6,17.0,2
26.6,32.67,0.4437839,30.2,19.0,2
24.6,29.29,0.416190046,27.1,20.0,1
24.3,29.78,0.014896207,27.6,22.0,1
21.2,29.3,0.128885754,27.7,22.0,-1
23.3,29.27,0.353117252,27.0,23.0,1
27.6,33.21,0.441117351,32.2,16.0,2
26.7,31.4,0.358976635,28.1,18.0,2
24.9,30.9,0.379845718,27.8,21.0,1
25.7,32.64,0.421583189,30.7,19.0,2
29.1,34.43,0.419426369,33.1,15.0,2
23.1,29.02,0.406607339,27.4,23.0,1
20.6,30.02,0.081140647,22.9,33.0,-2
